
|  3    6    0    7    7    3    6    0    8    3    |     |  3    1    7    9    8    1    0    0    5    9    |     |  199  179  154  251  299  193  104  172  202  147  |
|  8    4    9    4    6    9    3    6    5    6    |     |  8    4    2    9    5    8    5    5    7    3    |     |  241  200  191  370  441  291  97   224  270  211  |
|  7    7    2    4    1    1    9    3    7    7    |     |  0    2    2    7    8    4    1    1    0    2    |     |  191  172  184  292  341  243  143  187  196  182  |
|  8    8    5    6    7    5    0    4    5    1    |     |  2    8    6    1    4    5    0    4    5    8    |     |  206  158  162  333  332  222  71   166  254  203  |
|  8    6    6    2    9    7    6    7    4    2    |     |  8    3    0    7    8    2    0    4    6    2    |     |  253  186  159  381  418  260  88   227  272  209  |
|  1    6    1    6    8    9    4    8    2    8    |     |  8    7    3    4    9    6    0    7    7    1    |     |  275  222  138  282  369  311  103  268  280  172  |
|  2    8    8    0    7    7    7    1    6    7    |     |  5    7    3    4    9    4    4    7    1    3    |     |  260  197  146  327  405  271  142  221  216  119  |
|  7    3    9    9    7    8    1    3    5    6    |     |  1    0    0    8    5    8    0    6    7    6    |     |  227  217  203  328  414  271  84   204  259  216  |
|  3    4    5    6    3    3    2    9    1    3    |     |  0    0    5    9    7    3    4    1    4    1    |     |  138  133  107  232  253  219  55   166  190  170  |
|  8    5    6    4    5    9    2    2    9    3    |  X  |  6    4    4    2    8    9    6    5    3    1    |  =  |  214  176  192  345  389  234  93   180  249  180  |

Time taken to multiply square matrices of size 10: 4 microseconds


